filename,run_case,run_num,case_num,Sref,Cref,Bref,Xref,alpha,beta,Mach,V,r_rate,p_rate,q_rate,pb2V,qc2V,rb2V,CL,CD,CDind,CY,Cl,Cm,Cn,e,CLa,CLb,CYa,CYb,Cla,Clb,Cma,Cmb,Cna,Cnb,CLp,CLq,CLr,CYp,CYq,CYr,Clp,Clq,Clr,Cmp,Cmq,Cmr,Cnp,Cnq,Cnr,Xnp,spiral_stab,CLd1,CYd1,Cld1,Cmd1,Cnd1,CDffd1,ed1
run_10_case20_ST.txt,V= 15.0  a=  -3.0  b= 20.0  flap=0.0,10,20,0.3648,0.318,1.2,0.23,-3,20,0,15,NaN,0,NaN,-0,0,-0,0.18245,0.0031,0.0031041,-0.00455,-0.0071,-0.1206,0.00081,0.8394,3.30374,-0.096354,-0.008305,-0.010819,-0.278965,-0.016992,-0.267311,0.057497,-0.008401,0.001039,0.013481,4.515683,-0.018688,0.022425,-0.027692,0.006036,-0.302733,-0.275938,0.051721,-0.007875,-1.451766,0.013634,-0.012196,-0.013246,-0.001458,0.25573,NaN,0.002225,1.3e-05,-0.000936,-0.001272,6.7e-05,8.8e-05,-0.000608
run_10_case21_ST.txt,V= 15.0  a=   0.0  b=  0.0  flap=0.0,10,21,0.3648,0.318,1.2,0.23,0,0,0,15,NaN,0,NaN,-0,0,-0,0.39519,0.01289,0.0128918,-0,0,-0.14657,0,0.9821,3.710035,-0,2.4e-05,-0.015483,1e-06,-0.067618,-0.288985,0,1e-06,1.119649,-0,4.810563,0,0.102294,2.3e-05,0.006322,-0.319523,0,0.107364,0,-1.547057,-0,-0.035008,0,-0.004213,0.25477,1.119649,0.002514,-0,0,-0.001455,0,0.000178,-0.001131
run_10_case22_ST.txt,V= 15.0  a=   0.0  b=  5.0  flap=0.0,10,22,0.3648,0.318,1.2,0.23,0,5,0,15,NaN,0,NaN,-0,0,-0,0.39257,0.01282,0.0128195,-0.00134,-0.00587,-0.14577,0.00021,0.9801,3.681828,-0.059946,-0.002191,-0.015248,-0.075186,-0.066591,-0.286789,0.018225,0.005625,1.119654,0.0032,4.792259,-0.004926,0.101908,-0.007061,0.006298,-0.318307,-0.070396,0.106956,-0.001822,-1.54117,0.003575,-0.034875,0.000312,-0.004197,0.25477,1.119654,0.002494,-1e-06,-0.000253,-0.001442,1.7e-05,0.000177,-0.001118
run_10_case23_ST.txt,V= 15.0  a=   0.0  b= 10.0  flap=0.0,10,23,0.3648,0.318,1.2,0.23,0,10,0,15,NaN,0,NaN,-0,0,-0,0.38478,0.0126,0.0126045,-0.00265,-0.01156,-0.14341,0.00041,0.974,3.598063,-0.11807,-0.004339,-0.01455,-0.148088,-0.06354,-0.280271,0.035896,0.011078,1.11966,0.006376,4.73748,-0.009814,0.100746,-0.014091,0.006226,-0.314669,-0.140257,0.105733,-0.00363,-1.523554,0.007122,-0.034476,0.000622,-0.004149,0.254771,1.11966,0.002435,-2e-06,-0.000498,-0.001406,3.3e-05,0.000173,-0.001078
run_10_case24_ST.txt,V= 15.0  a=   0.0  b= 15.0  flap=0.0,10,24,0.3648,0.318,1.2,0.23,0,15,0,15,NaN,0,NaN,-0,0,-0,0.37206,0.01225,0.0122532,-0.00387,-0.0169,-0.13954,0.00059,0.9635,3.461285,-0.172607,-0.006355,-0.013409,-0.21649,-0.058559,-0.269626,0.052477,0.016194,1.119666,0.009504,4.646647,-0.014627,0.098817,-0.021014,0.006107,-0.308635,-0.209051,0.103706,-0.005411,-1.494342,0.010615,-0.033816,0.000926,-0.00407,0.254771,1.119666,0.002339,-3e-06,-0.000729,-0.001346,4.9e-05,0.000168,-0.00101
run_10_case25_ST.txt,V= 15.0  a=   0.0  b= 20.0  flap=0.0,10,25,0.3648,0.318,1.2,0.23,0,20,0,15,NaN,0,NaN,-0,0,-0,0.35481,0.01178,0.0117765,-0.00498,-0.02173,-0.13429,0.00076,0.9484,3.275651,-0.221899,-0.008178,-0.011861,-0.278315,-0.051799,-0.25518,0.067463,0.020819,1.119671,0.012559,4.520451,-0.019329,0.096136,-0.027777,0.005941,-0.300253,-0.276253,0.100889,-0.00715,-1.453758,0.014028,-0.032898,0.001224,-0.003959,0.254773,1.119671,0.002209,-4e-06,-0.000937,-0.001265,6.3e-05,0.00016,-0.000914
run_11_case01_ST.txt,V= 15.0  a=   3.0  b=  0.0  flap=0.0,11,1,0.3648,0.318,1.2,0.23,3,0,0,15,NaN,0,NaN,-0,0,-0,0.588,0.02836,0.0283611,-0,0,-0.16127,0,0.9884,3.650314,0,-0.000114,-0.016797,2e-06,-0.1127,-0.272081,0,1.6e-05,0.720684,-3e-06,4.802595,0,0.180296,-6.8e-05,-0.001976,-0.314606,1e-06,0.159042,0,-1.544937,-0,-0.057294,1.1e-05,-0.008266,0.253703,0.720684,0.002479,-0,0,-0.00144,0,0.000258,-0.000625
run_11_case02_ST.txt,V= 15.0  a=   3.0  b=  5.0  flap=0.0,11,2,0.3648,0.318,1.2,0.23,3,5,0,15,NaN,0,NaN,-0,0,-0,0.58391,0.02819,0.0281906,-0.00146,-0.00981,-0.16036,0.00019,0.9875,3.622542,-0.09347,-0.002254,-0.016542,-0.074185,-0.110988,-0.270014,0.020778,0.013468,0.720692,0.002945,4.784319,-0.005063,0.179613,-0.007151,-0.001969,-0.313409,-0.070283,0.158437,-0.001632,-1.539058,0.003665,-0.057076,0.004007,-0.008234,0.253703,0.720692,0.002459,-6e-06,-0.000253,-0.001428,1.6e-05,0.000256,-0.000624
run_11_case03_ST.txt,V= 15.0  a=   3.0  b= 10.0  flap=0.0,11,3,0.3648,0.318,1.2,0.23,3,10,0,15,NaN,0,NaN,-0,0,-0,0.57177,0.02769,0.0276851,-0.00288,-0.01932,-0.15767,0.00038,0.9847,3.540066,-0.1841,-0.004328,-0.015784,-0.146118,-0.105903,-0.263876,0.040925,0.026512,0.7207,0.005871,4.729634,-0.010088,0.177563,-0.014181,-0.001946,-0.309827,-0.140032,0.156626,-0.003253,-1.521466,0.007302,-0.056424,0.007972,-0.00814,0.253704,0.7207,0.002401,-1.2e-05,-0.000497,-0.001391,3.1e-05,0.000251,-0.00062
run_11_case04_ST.txt,V= 15.0  a=   3.0  b= 15.0  flap=0.0,11,4,0.3648,0.318,1.2,0.23,3,15,0,15,NaN,0,NaN,-0,0,-0,0.55195,0.02686,0.0268597,-0.0042,-0.02824,-0.15326,0.00056,0.9799,3.405393,-0.269136,-0.006272,-0.014546,-0.21361,-0.097601,-0.253855,0.059828,0.03875,0.72071,0.008752,4.63895,-0.015037,0.174161,-0.021102,-0.001909,-0.303886,-0.208715,0.153623,-0.004848,-1.492294,0.010884,-0.055342,0.011876,-0.007984,0.253705,0.72071,0.002306,-1.7e-05,-0.000727,-0.001332,4.5e-05,0.000242,-0.000614
run_11_case05_ST.txt,V= 15.0  a=   3.0  b= 20.0  flap=0.0,11,5,0.3648,0.318,1.2,0.23,3,20,0,15,NaN,0,NaN,-0,0,-0,0.52504,0.02574,0.0257397,-0.0054,-0.03631,-0.14728,0.00071,0.9728,3.222614,-0.345995,-0.008027,-0.012866,-0.274613,-0.086333,-0.240253,0.076914,0.04981,0.720721,0.011567,4.512963,-0.019871,0.169434,-0.027863,-0.001857,-0.295633,-0.27581,0.14945,-0.006406,-1.451766,0.014383,-0.053839,0.01569,-0.007767,0.253708,0.720721,0.002178,-2.2e-05,-0.000935,-0.001252,5.8e-05,0.000231,-0.000604
run_11_case06_ST.txt,V= 15.0  a=   6.0  b=  0.0  flap=0.0,11,6,0.3648,0.318,1.2,0.23,6,0,0,15,NaN,0,NaN,-0,0,-0,0.77697,0.0495,0.0495023,-1e-05,0,-0.17501,0,0.9908,3.56334,1e-06,-0.00025,-0.018065,6e-06,-0.156933,-0.252196,-0,3.1e-05,0.549189,-1.6e-05,4.781672,1e-06,0.257003,-0.000158,-0.018383,-0.307497,3e-06,0.209717,0,-1.538582,-0,-0.079989,2.2e-05,-0.013625,0.252506,0.549189,0.002427,-0,0,-0.001417,0,0.000334,-0.000411
